index,premise,hypothesis,concatenation_spectral_k2,concatenation_gmm_k2,concatenation_hierarchical_k2,concatenation_spectral_k3,concatenation_gmm_k3,concatenation_hierarchical_k3,concatenation_spectral_k4,concatenation_gmm_k4,concatenation_hierarchical_k4,concatenation_spectral_k5,concatenation_gmm_k5,concatenation_hierarchical_k5,concatenation_spectral_k10,concatenation_gmm_k10,concatenation_hierarchical_k10,semantic_coherence_spectral_k2,semantic_coherence_gmm_k2,semantic_coherence_hierarchical_k2,semantic_coherence_spectral_k3,semantic_coherence_gmm_k3,semantic_coherence_hierarchical_k3,semantic_coherence_spectral_k4,semantic_coherence_gmm_k4,semantic_coherence_hierarchical_k4,semantic_coherence_spectral_k5,semantic_coherence_gmm_k5,semantic_coherence_hierarchical_k5,semantic_coherence_spectral_k10,semantic_coherence_gmm_k10,semantic_coherence_hierarchical_k10
920,A brindle-coated dog is growling at a jumping brown dog with purple collar inside a park enclosure.,the cat sits inside the house,1,1,1,0,2,0,3,2,3,3,4,3,7,3,3,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
921,A boy in green and yellow dress is learning boxing.,A boy in a bathing suit is swimming in a river.,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,0,0,0,0,0,0,0,0,0,3,1,0,3,5
922,A man in a red and white striped shirt runs a hotdog stand across the street from a pizza parlor.,A woman is running a burger stand.,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,1,1,0,0,1,0,3,1,0,0,4,1,3,4
923,Two young boys wearing heavy winter clothing shovel snow near some concrete steps.,The boys are smoking.,0,0,1,2,0,0,2,0,1,4,0,4,0,7,8,0,1,0,2,0,0,2,0,0,2,0,1,5,3,7
924,A couple walks down the street while wearing cowboy hats.,A couple crawls down the street while wearing cowboy hats.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
925,A group of teams competing in loggers sports in British Columbia.,individuals are competing,0,0,0,2,0,2,0,0,2,1,0,2,9,0,7,0,1,0,0,1,0,0,1,0,0,0,0,9,0,0
926,A woman in a black dress and flat shoes holds her head as she waits to cross the street.,The woman is wearing high heels.,0,1,0,1,2,1,1,3,0,0,3,1,2,4,5,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1
927,A man in orange shorts and knee pads is in a blurry picture.,A woman is wearing shorts.,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,1,0,0,1,2,0,3,2,0,3,2,1,3,2
928,African American man wearing all black with a white hat prepares food.,A white woman is eating dinner.,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
929,There is a train accident and the medical team is there to help with the victims while spectators look on.,The medical team is leaving the scene.,0,0,0,2,0,1,0,0,0,2,0,0,9,6,0,0,1,0,0,0,2,0,3,2,0,0,2,1,3,2
930,A chinese man wearing a traditional Chinese rice hat carries a balanced load across his shoulder with the use of a long stick.,a japanese woman plows fields,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,0,1,0,2,1,0,0,1,0,4,4,7,8,4
931,A young person wearing a pink one-piece swimsuit and goggles about to complete a leap into a swimming pool.,There is a man snowboarding.,0,1,0,1,1,1,1,1,0,0,1,0,8,1,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
932,The man with sunglasses and a striped shirt is walking down the street with three cases of beer.,The man is loading beer onto a truck.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,0,0,0,2,0,3,2,0,2,2,7,1,2
933,A hallway is littered with ladders and fabric during construction.,Outside of a building there's a dog barking.,0,1,0,1,2,2,0,2,2,2,4,2,9,1,1,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
934,Man is laying down on red lounge chair.,The man sleeping in his bed.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,2,0,0,1,0,0,1,0,0,1,0,2,4,7,6,9
935,An Indian male is out shopping for some fruit.,A guy is stealing tv from a shopping center.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,4,4,7,6,4
936,A man in a white shirt is approaching a seagull.,A man in a green shirt is chasing a dog.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,0,1,0,3,1,0,2,4,7,6,9
937,Seven people are wading in a natural pool.,There are eight people in the pool,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,1,0,0,1,2,0,1,2,0,1,2,1,0,2
938,Two men in teal scrubs stand in front of a cafe with an open sign.,Two men play soccer in the country.,0,0,0,2,0,2,0,0,2,2,0,2,9,0,7,0,0,0,0,2,0,0,0,0,0,4,0,1,8,0
939,A runner with a turtle backpack looking exhausted at a street race.,The person just woke up and is refreshed.,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,3,1,0,0,4,7,3,9
940,A large amount of people crowded into a subway system.,The people are walking down the sidewalk.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,1,0,2,1,0,2,1,0,4,4,1,8,4
941,A man wearing glasses with aluminum cans lined up in front of him.,The woman carries a trash bag.,0,1,0,1,2,1,1,3,0,0,3,0,1,4,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
942,"There are four children, two male, two female, in formal clothing taking a candid picture.",Four children in overalls swing on a swingset.,0,0,0,2,0,2,2,0,2,4,2,2,0,7,7,0,1,0,2,0,0,2,0,0,2,0,1,5,3,7
943,A man in mostly leather clothing stands in a nighttime entertainment area.,The man is sleeping in his bedroom.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,2,0,0,1,0,2,1,0,2,1,0,4,4,7,2,9
944,Large woman in pink shirt putting on red lipstick.,Small woman in pink shirt putting on red lipstick.,0,1,0,1,2,1,1,3,0,0,3,1,2,4,5,0,1,0,0,1,2,0,1,2,0,1,2,1,7,2
945,A young hunter wearing an orange vest holding a pheasant in a field.,A woman holding a purse in an orange field.,0,1,0,1,2,1,1,3,0,0,3,1,2,4,5,0,1,0,0,0,2,0,3,2,0,0,2,1,3,2
946,A dark-haired gentleman with a mustache and wearing a sweater is simultaneously pressing buttons on an old-fashioned computer monitor and the keyboard.,a man sleeps in a chair,0,1,0,1,1,1,1,1,0,0,1,0,1,8,2,0,0,1,0,2,1,0,2,1,0,2,4,7,6,4
947,A group of pedestrians walk down a city street.,The people are running in a race.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,7,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8
948,"People walking, playing, sleeping in the park.",People are at home watching television.,0,0,0,1,0,1,1,0,0,0,0,0,1,6,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
949,A woman and a man cutting dough into small pieces.,A man and a woman are cutting up vegetables.,0,0,0,1,0,2,0,0,2,2,0,2,9,6,1,0,1,0,0,1,0,0,3,0,0,0,0,1,0,0
950,"Middle-aged female wearing a white sunhat and white jacket, slips her hand inside a man's pants pocket.",A woman pick pockets the unsuspecting gentlemen's wallet.,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,1,1,0,0,1,0,3,1,0,0,4,1,3,4
951,Construction worker bending over,A cat is coughing up a furball,1,1,1,0,1,0,3,1,3,3,1,3,7,1,3,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
952,A woman is watching a man dance.,The woman is dancing.,0,1,0,1,2,1,1,3,0,0,3,1,2,4,5,0,1,0,0,1,2,0,1,2,0,1,2,1,7,2
953,a dog jumps over another dog as both animals are trying to catch the same ball.,The dogs are asleep on the couch.,1,0,1,0,0,0,3,2,3,3,4,3,4,3,3,1,0,0,1,2,0,1,2,3,3,4,3,3,2,3
954,No male construction workers in a work area in a city.,Men working construction in a work zone.,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0
955,Female cyclist in red and black helmet leaning to the curve of a track with onlookers in the background.,The cyclist is male.,0,1,0,1,1,1,1,1,0,0,1,0,8,1,0,0,1,0,0,1,0,0,3,0,0,3,0,8,3,0
956,A dog jumps over a hurdle.,There is a dog sitting,1,1,1,0,2,0,3,2,3,3,4,3,5,3,3,1,0,0,1,0,0,1,3,3,1,3,3,2,9,3
957,A young child looking at a toy railroad setup.,A boy stares at an unopened present,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,1,0,0,1,2,0,1,2,0,1,2,0,7,2
958,"A man and woman are holding a sign that reads, ""Teaching Children for peace"".",There are a pair of identical twins playing a hand clapping game.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,1,0,2,1,0,2,1,0,4,4,7,8,4
959,A woman walking her dog along a street of residences.,The woman is asleep.,0,1,0,1,2,1,1,3,0,0,3,0,1,9,2,0,0,1,0,2,1,0,0,1,0,4,4,7,8,4
960,A girl peers into a window.,A girl standing in line at a toy store.,0,1,0,1,2,1,2,3,0,4,2,1,2,4,6,0,1,0,0,0,0,0,3,0,0,0,0,6,5,6
961,A woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,The boy holding a cookie is not wearing a hat.,0,1,1,1,1,0,1,1,1,4,2,4,1,2,9,0,1,0,0,0,0,0,3,0,0,3,1,0,3,5
962,Boy riding a horse.,a horse walks up to the boy,0,1,0,1,1,1,2,1,0,4,2,0,0,2,0,0,1,0,0,1,2,0,1,2,0,1,2,0,7,2
963,A man in a suit is smoking and talking on the phone.,The man is wearing nothing and holding his breath.,0,1,0,1,1,1,1,1,0,0,1,0,1,5,0,0,0,1,0,2,1,0,2,1,0,4,4,7,6,9
964,A woman wearing orange is putting a bowl into a dishwasher next to another woman that is reaching for dish soap.,A woman away clean clothes.,0,1,0,1,2,1,1,3,0,0,3,0,2,9,0,0,1,0,0,0,2,0,0,2,0,0,2,1,3,2
965,A boy in black pants and green t-shirt jumps high with his skateboard.,Nobody has a skateboard.,0,1,0,1,1,1,1,1,0,0,2,0,9,5,2,0,0,0,0,0,2,3,3,2,4,3,2,8,3,2
966,A man with crazy hair is sitting with his fingers in his ears.,A man with crazy hair is having a conversation with someone.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,1,0,0,1,2,0,1,2,0,1,2,7,1,2
967,A young man in a white shirt cutting tomatoes.,A man is cutting onions.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,1,0,0,0,0,0,3,0,0,2,0,7,1,0
968,An Amish woman in purple is attached a buggy to a horse.,A young Amish girl attaches a horse to a buggy.,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,1,0,0,1,2,0,1,2,0,1,2,1,7,2
969,A little kid playing GameCube at McDonald's.,A little girl playing Sonic on the SEGA at Burger King's.,0,1,0,1,2,1,2,1,0,4,2,1,0,2,6,0,1,0,0,1,2,0,1,2,0,1,2,1,7,2
970,A man and woman sharing a laugh at the dinner table.,A man sitting alone in a restaurant.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,4,4,7,6,9
971,A group of people are riding on a tour bus and viewing something interesting out the window.,A group of people are swimming in a pool.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,0,0,2,0,0,0,0,0,4,0,1,8,8
972,"A woman wearing a blue top, brushes the hair of another woman, wearing a green top.",womans are brush their hair,0,0,0,1,0,1,0,3,0,2,3,1,2,9,5,0,1,0,0,1,2,0,1,2,0,1,2,1,7,2
973,"a man wearing a dark blue button up shirt, cowboy hat, and chaps rides a bucking bronco in a rodeo.",A train conductor plays around with a sock puppet.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,0,1,0,3,1,0,2,4,7,6,4
974,"Two men, one in a Circuit City T-shirt, the other in an M &Ms T-shirt, operate video game guns.",Two men are drinking beer at a lakers game,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,0,0,2,0,0,2,0,0,4,0,1,8,0
975,Young people lean between wood beams in front of a brick and concrete wall.,Young people are walking to class.,0,0,0,2,0,2,0,0,2,2,0,2,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8
976,An Asian woman eating rice in front of a yellow building.,A woman is eating cereal.,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,1,0,0,0,0,0,3,0,0,0,0,1,3,0
977,A man about to get inside a small blue compact car.,the man is at home sleeping,0,1,0,1,1,1,1,1,0,0,1,0,1,8,2,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
978,Six people in hard hats are walking through the snow.,Six people in hard hats are drinking coffee,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,8
979,Young black kids playing with a bike in sand.,the kids are making chocolate chip cookies at grandmas house,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
980,Man in field conversing with cows.,The man is standing inside by the sink.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
981,A man pours champagne into a glass.,A woman pours beer into a glass.,0,1,0,1,2,1,1,3,0,0,3,0,1,4,0,0,1,0,0,1,2,0,1,2,0,1,2,1,7,2
982,Boys in a cart and some older men linger in the streets while opening their shops in an Arabic-speaking city.,The streets of the Arabic speaking city are empty and quiet.,0,0,0,2,0,1,0,0,0,2,0,0,9,5,2,0,0,1,0,0,1,0,0,1,0,0,4,1,3,4
983,"A young girl holds a younger boy, possibly her brother, surrounded by adults, in a public place.",A girl is eating a baby.,0,0,0,2,0,1,2,0,0,4,2,1,2,7,5,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
984,People putting out a fire.,The man is cooking on the grill.,0,0,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,0,0,2,0,0,2,0,0,4,0,7,2,0
985,A bunch of shirtless guys with their hands up in the air.,All of the men are wearing winter coats.,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,1,0,0,1,0,0,1,0,0,4,1,3,4
986,A man with a beer and hammer in his hands strikes something on a round platform in front of him.,The woman is drinking a beer and hammering a nail.,0,1,0,1,2,1,1,1,0,0,1,0,1,4,0,0,1,0,0,1,2,0,3,2,0,3,2,7,1,2
987,A group of people play instruments and sing.,the man played the drum alone,0,0,0,2,0,2,0,0,2,2,0,2,6,5,4,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
988,"There are 3 people in this picture, a man who is looking through some object, another looking at something else perhaps not in the picture, and a little girl with her mouth open wide.",There is no photograph.,0,1,0,1,1,1,0,1,0,2,0,0,9,5,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
989,One person does a flip in the middle of the field while their friend takes a picture.,A person takes a selfie while doing a flip.,0,1,0,1,1,1,1,1,0,0,1,0,8,1,0,0,1,0,0,1,2,0,1,2,0,1,2,1,7,2
990,Two little girls in front of the Build a Bear workshop.,Two little girls inside of the Build a Bear Workshop.,0,0,1,2,0,0,2,0,1,4,2,4,2,7,8,0,1,0,2,1,2,2,1,2,2,1,2,5,7,2
991,A woman and a child are sitting in the snow amongst ski gear.,The woman and child are standing.,0,0,0,1,0,1,1,3,0,2,3,1,2,6,5,0,1,0,0,0,0,0,0,0,0,0,1,1,8,5
992,a group of people and camels walking in the desert.,A group of people and dogs walking.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,1,0,0,1,2,0,1,2,0,1,2,1,0,2
993,Two men stand at an outdoor market.,Two men are shopping at their local Walmart.,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,8,0
994,Men standing on a railing.,The men are sitting down,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
995,Two blond dogs sniff one another.,The dogs are attacking one another.,1,0,1,0,0,0,3,2,3,3,4,3,4,3,3,1,0,1,1,0,1,1,0,1,3,0,4,3,3,4
996,a girl on a horse trying to catch a bull with a rope,The girl is riding a cow.,0,1,0,1,2,1,1,3,0,0,2,0,1,4,0,0,1,0,0,0,0,0,3,0,0,3,0,6,5,6
997,Man and woman standing at grand canyon looking out.,The man and woman are standing at the beach.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
998,At the rodeo a cowboy rides a horse.,The person is flying a plane.,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,2,1,0,2,1,0,4,4,7,6,4
999,A guy is flinging water out of a pale into a fountain.,A man is at a well in the country.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,0,1,0,3,1,0,2,4,7,6,9
1000,A blond little girl enjoying a burrito.,The brunette girl didn't like the buritto.,0,1,0,1,2,1,2,3,0,4,2,1,2,4,6,0,1,0,0,0,2,0,0,2,0,0,2,1,5,2
1001,A man with a dog is sitting on a bench.,A man with a cat is relaxing on a bench.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,1,0,0,1,2,0,1,2,0,1,2,7,1,2
1002,A skateboarder midair with his skateboard.,A skateboarder is sleeping with his skateboard.,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,2,3,3,2,4,3,2,8,4,2
1003,A guy in a barber shop getting shaved.,A man gets his hair styled outdoors.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,1,0,0,1,2,0,3,2,0,2,2,7,1,2
1004,Children play on a giant work of art.,Kids are seated at their desks in school.,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,0,0,2,0,0,2,0,0,2,0,1,5,8,7
1005,There are 4 men working on the roof of a house.,There are 4 men sleeping on the lawn.,0,0,0,2,0,1,0,0,0,2,0,0,9,0,2,0,1,1,0,0,1,0,0,1,0,0,4,1,3,4
1006,a woman showing a powerpoint presentation on a large projector screen.,a woman is drawing on a chalkboard.,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
1007,Two children swinging on swings,Two children swing from a tree branch.,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,1,0,2,1,2,2,1,2,2,1,2,5,7,2
1008,A man wearing a blue shirt kicks a soccer ball along a green field.,A man is wearing a football helmet.,0,1,0,2,1,2,2,1,2,1,1,2,3,8,7,0,0,1,0,0,1,0,2,1,0,2,4,7,6,9
1009,"A young girl, wearing blue goggles, riding a floatie in a pool.",A young girl is playing soccer.,0,1,0,1,2,1,2,3,0,4,2,1,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6
1010,A woman wearing a black shawl walking out of a building.,The woman is swimming.,0,1,0,1,2,1,1,3,0,0,3,1,2,9,5,0,0,0,0,0,0,0,0,0,0,4,0,1,8,1
1011,Women walks down mall entrance with Spanish writing.,A woman is driving.,0,1,0,1,2,1,1,3,0,0,3,1,2,9,5,0,0,1,0,0,1,0,0,1,0,4,4,1,8,4
1012,Boy in black shirt jumps onto bed from dresser.,A boy stares intently at his TV as he plays video games.,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,0,0,0,0,0,0,3,0,0,3,1,0,3,5
1013,People on a chair lift at a snow-covered location.,People lounge on a sunny beach.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,0,0,0,0,0,0,0,0,4,0,1,8,8
1014,Two men on a snowy and rocky mountainside cook a meal while their teammates sit a little way away.,The men are inside watching TV.,0,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,4,0,7,8,0
1015,"A man is standing in front of a party, with several children and party decorations (including balloons) also in the shot.",A woman is standing in front of a party with several children and balloons.,0,1,0,1,2,2,0,3,2,2,3,2,9,6,1,0,1,0,0,1,2,0,1,2,0,1,2,1,7,2
1016,"Cyclists race down a street, entering a turn in front of the camera.",The cyclist are taking a break.,0,0,0,1,0,1,1,0,0,0,0,0,8,0,0,0,1,0,0,1,0,0,3,0,0,3,0,8,0,0
1017,"Snowboarder balances on low, wooden structure in snow.","Skier balances on low, wooden structure in snow.",0,1,0,1,1,1,1,1,0,0,1,0,8,1,0,0,1,0,0,1,2,3,1,2,4,1,2,8,7,2
1018,A group of children in a field.,Some teenagers are in the field.,0,0,1,2,0,0,2,0,1,4,2,4,9,7,8,0,1,0,2,1,2,2,1,2,2,1,2,1,0,2
1019,A man in a yellow shirt and light colored pants sits next to a woman wearing a light colored hat in front of a camper while a young boy in a yellow shirt and jeans tosses rocks.,the camper is safely parked in the middle of the lake,0,1,0,2,0,1,0,0,0,2,2,0,9,5,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1020,A couple are dancing while others are watching a concert in a bandstand.,A couple is eating dinner.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
1021,A woman in blue in a kitchen with a tea kettle of steaming hot water in her hand.,A woman is running toward kitchen,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,1,0,0,0,2,0,3,2,0,0,2,1,5,2
1022,"Two dogs, one holding something in its mouth, in the snow.",Two horses in the snow.,1,0,1,0,0,0,3,2,3,3,4,3,4,3,3,1,1,0,1,1,2,1,1,2,3,1,2,3,7,2
1023,A soccer player about to kick the ball.,The cat is climbing the tree,0,1,1,2,2,0,2,1,3,4,1,3,1,1,3,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1024,People standing in front of a subway train.,Nobody is standing,0,0,0,2,0,1,0,0,0,2,0,0,9,5,2,0,0,1,0,2,1,0,2,1,0,4,4,1,2,4
1025,A kid is looking through blinds at a truck outside.,A kid watches television and ignores his surroundings.,0,1,0,1,2,1,2,1,0,4,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,1,3,0
1026,Little boys play soccer outside.,Little boys swimming.,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,1,0,2,1,0,2,3,0,2,3,1,5,3,7
1027,A woman in a blue shirt and a girl in a pink dress sit on folding chairs in the street.,A woman and a girl are spelunking.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,1,1,0,0,1,0,0,1,0,0,4,1,3,4
1028,"Two women with signs that say ""Free hugs"".",They are singing opera.,0,0,0,2,0,2,0,0,2,2,0,2,9,9,1,0,0,1,0,2,1,0,2,1,0,4,4,7,6,4
1029,Three people are using a net on a beach.,Three people are sitting in chairs.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8
1030,A little boy playing with his toy.,the dog ran  after the  car.,0,1,1,1,2,0,2,2,3,4,2,3,0,2,3,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1031,There are three girls with headscarves in front of a worn down building and a family walking in the background.,Three girls look out a window.,0,0,0,2,0,1,0,0,0,4,0,1,2,7,6,0,1,0,0,1,2,0,1,2,0,0,2,6,0,2
1032,An Asian cute girl in an ash color outfit with a bag color bag give a beautiful smile.,The girl is wearing blue.,0,1,0,1,2,1,2,3,0,4,2,1,2,4,6,0,1,0,0,0,0,0,3,0,0,0,0,6,5,6
1033,Black woman sweeping in front of massive wooden doors.,The woman is sitting on a bench.,0,1,0,1,2,1,1,3,0,0,3,1,2,9,5,0,0,0,0,2,0,0,0,0,0,4,0,1,8,1
1034,A woman in a white t-shirt and gold necklace cleaning a rail with a yellow towel.,The towel is green,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,1,1,0,1,1,2,1,1,2,1,1,2,2,9,2
1035,Two teenagers are playing Nintendo Wii while other teens look on.,Two teenagers are playing the wii in a room alone.,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,1,0,0,1,0,0,1,0,0,1,0,1,7,0
1036,"Three dogs, one white and two brown, are running together on a field of grass.",The dogs are waiting to be sheared.,1,0,1,0,0,0,3,2,3,3,4,3,4,3,3,1,1,0,1,0,0,1,3,3,3,0,3,3,3,3
1037,"On a street in Korea a man is pulling a two-wheeled cart, piled high with a chair and cardboard and other things while behind him are a car and a truck and a street level billboard.",A man is riding in a limo during evening hours.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,4,4,7,6,9
1038,two children are standing next to each other in front of a wall that has photographs on it.,The two children can walk thru walls.,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,1,0,2,1,0,2,1,0,2,1,1,5,7,7
1039,A man and a woman both wearing white standing next to each other.,Two people attend a Black Sabbath concert.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
1040,A skier skiing and having fun.,A skiier is angry.,0,1,0,1,1,1,1,1,0,0,1,0,8,1,0,0,1,0,0,1,2,3,1,2,4,3,2,4,7,2
1041,Two people standing on the side of a city street.,Two people are driving down a road.,0,0,0,2,0,1,0,0,0,2,0,0,9,6,0,0,0,1,0,0,1,0,0,1,0,0,4,1,8,4
1042,A man on the phone dressed in hard has standing next to a white van.,A man on the phone is eating a burger.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,0,1,0,0,1,0,2,4,7,5,9
1043,A boy on the beach in an orange jacket with his arm stretched out.,A boy is diggin a hole in the snow.,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,0,0,0,0,0,0,3,0,0,3,1,0,3,5
1044,A man in a black jacket facing a dinosaur sign.,A man is wearing a purple jacket.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,1,0,0,1,2,0,3,2,0,2,2,7,1,2
1045,A bunch of people sitting around tables with drinks.,The people are standing around the table.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,1,0,0,1,2,0,1,2,0,1,2,1,0,2
1046,A man doing a trick on a bicycle in a wooded area.,The man is sitting inside,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,2,4,7,6,9
1047,A group of people are sitting on park benches beneath trees with purple blossoms.,A group of people are playing tag in a park.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,1,0,0,1,2,0,3,2,0,0,2,1,0,2
1048,A man with tattoos is lounging on a couch holding a pencil.,the man is standing near a tree,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,2,4,7,6,9
1049,Firemen gathered around a firetruck on a roadside.,the men sitting in a park,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,0,0,2,0,0,0,0,0,4,0,1,8,8
1050,"Teams assemble on a soccer field wearing blue, red, and yellow uniforms.",There is only one team on a soccer field.,0,0,0,2,0,2,2,0,2,1,0,2,3,5,7,0,1,0,0,1,0,0,3,0,0,0,0,9,0,0
1051,A hockey player guards the goal.,A hockey player sat on the bench.,0,1,0,2,1,2,2,1,2,1,1,2,3,1,7,0,1,0,0,1,2,0,1,2,0,1,2,9,0,2
1052,A dog jumps off the stairs.,A cat is napping in the sun on the windowsill.,1,1,1,0,2,0,3,2,3,3,4,3,5,3,3,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
1053,A man in a bowler hat sitting next to a speaker and a figure playing a saxophone.,His bald head was sunburned.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,0,0,2,0,0,2,0,0,2,0,7,6,0
1054,Woman walking in summer attire.,A woman is bundled up in a heavy coat.,0,1,0,1,2,1,1,3,0,0,3,1,2,9,5,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
1055,The woman in the blue shirt sits on a bench in a museum as others pass her by.,There isn't anyone else but the woman in the museum.,0,1,0,1,2,1,1,3,0,2,3,0,2,9,0,0,1,0,0,0,0,0,3,0,0,0,0,1,3,1
1056,A man selling pin-wheels.,A man is selling pink flowers.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,1,0,0,1,2,0,3,2,0,1,2,1,1,2
