index,premise,hypothesis,original_index
978,Six people in hard hats are walking through the snow.,Six people in hard hats are drinking coffee,2963
979,Young black kids playing with a bike in sand.,the kids are making chocolate chip cookies at grandmas house,2964
980,Man in field conversing with cows.,The man is standing inside by the sink.,2971
981,A man pours champagne into a glass.,A woman pours beer into a glass.,2974
982,Boys in a cart and some older men linger in the streets while opening their shops in an Arabic-speaking city.,The streets of the Arabic speaking city are empty and quiet.,2975
983,"A young girl holds a younger boy, possibly her brother, surrounded by adults, in a public place.",A girl is eating a baby.,2981
984,People putting out a fire.,The man is cooking on the grill.,2983
985,A bunch of shirtless guys with their hands up in the air.,All of the men are wearing winter coats.,2986
986,A man with a beer and hammer in his hands strikes something on a round platform in front of him.,The woman is drinking a beer and hammering a nail.,2989
987,A group of people play instruments and sing.,the man played the drum alone,2993
988,"There are 3 people in this picture, a man who is looking through some object, another looking at something else perhaps not in the picture, and a little girl with her mouth open wide.",There is no photograph.,2999
989,One person does a flip in the middle of the field while their friend takes a picture.,A person takes a selfie while doing a flip.,3005
990,Two little girls in front of the Build a Bear workshop.,Two little girls inside of the Build a Bear Workshop.,3006
991,A woman and a child are sitting in the snow amongst ski gear.,The woman and child are standing.,3008
992,a group of people and camels walking in the desert.,A group of people and dogs walking.,3010
993,Two men stand at an outdoor market.,Two men are shopping at their local Walmart.,3012
994,Men standing on a railing.,The men are sitting down,3014
995,Two blond dogs sniff one another.,The dogs are attacking one another.,3017
996,a girl on a horse trying to catch a bull with a rope,The girl is riding a cow.,3018
997,Man and woman standing at grand canyon looking out.,The man and woman are standing at the beach.,3023
998,At the rodeo a cowboy rides a horse.,The person is flying a plane.,3030
999,A guy is flinging water out of a pale into a fountain.,A man is at a well in the country.,3031
1000,A blond little girl enjoying a burrito.,The brunette girl didn't like the buritto.,3034
1001,A man with a dog is sitting on a bench.,A man with a cat is relaxing on a bench.,3039
1002,A skateboarder midair with his skateboard.,A skateboarder is sleeping with his skateboard.,3040
1003,A guy in a barber shop getting shaved.,A man gets his hair styled outdoors.,3042
1004,Children play on a giant work of art.,Kids are seated at their desks in school.,3045
1005,There are 4 men working on the roof of a house.,There are 4 men sleeping on the lawn.,3050
1006,a woman showing a powerpoint presentation on a large projector screen.,a woman is drawing on a chalkboard.,3051
1007,Two children swinging on swings,Two children swing from a tree branch.,3053
1008,A man wearing a blue shirt kicks a soccer ball along a green field.,A man is wearing a football helmet.,3058
1009,"A young girl, wearing blue goggles, riding a floatie in a pool.",A young girl is playing soccer.,3059
1010,A woman wearing a black shawl walking out of a building.,The woman is swimming.,3062
1011,Women walks down mall entrance with Spanish writing.,A woman is driving.,3063
1012,Boy in black shirt jumps onto bed from dresser.,A boy stares intently at his TV as he plays video games.,3066
1013,People on a chair lift at a snow-covered location.,People lounge on a sunny beach.,3070
1014,Two men on a snowy and rocky mountainside cook a meal while their teammates sit a little way away.,The men are inside watching TV.,3071
1015,"A man is standing in front of a party, with several children and party decorations (including balloons) also in the shot.",A woman is standing in front of a party with several children and balloons.,3075
1016,"Cyclists race down a street, entering a turn in front of the camera.",The cyclist are taking a break.,3081
1017,"Snowboarder balances on low, wooden structure in snow.","Skier balances on low, wooden structure in snow.",3086
1018,A group of children in a field.,Some teenagers are in the field.,3087
1019,A man in a yellow shirt and light colored pants sits next to a woman wearing a light colored hat in front of a camper while a young boy in a yellow shirt and jeans tosses rocks.,the camper is safely parked in the middle of the lake,3090
1020,A couple are dancing while others are watching a concert in a bandstand.,A couple is eating dinner.,3091
1021,A woman in blue in a kitchen with a tea kettle of steaming hot water in her hand.,A woman is running toward kitchen,3096
1022,"Two dogs, one holding something in its mouth, in the snow.",Two horses in the snow.,3098
1023,A soccer player about to kick the ball.,The cat is climbing the tree,3101
1024,People standing in front of a subway train.,Nobody is standing,3105
1025,A kid is looking through blinds at a truck outside.,A kid watches television and ignores his surroundings.,3107
1026,Little boys play soccer outside.,Little boys swimming.,3111
1027,A woman in a blue shirt and a girl in a pink dress sit on folding chairs in the street.,A woman and a girl are spelunking.,3113
1028,"Two women with signs that say ""Free hugs"".",They are singing opera.,3116
1029,Three people are using a net on a beach.,Three people are sitting in chairs.,3117
1030,A little boy playing with his toy.,the dog ran  after the  car.,3118
1031,There are three girls with headscarves in front of a worn down building and a family walking in the background.,Three girls look out a window.,3120
1032,An Asian cute girl in an ash color outfit with a bag color bag give a beautiful smile.,The girl is wearing blue.,3123
1033,Black woman sweeping in front of massive wooden doors.,The woman is sitting on a bench.,3128
1034,A woman in a white t-shirt and gold necklace cleaning a rail with a yellow towel.,The towel is green,3129
1035,Two teenagers are playing Nintendo Wii while other teens look on.,Two teenagers are playing the wii in a room alone.,3132
1036,"Three dogs, one white and two brown, are running together on a field of grass.",The dogs are waiting to be sheared.,3133
1037,"On a street in Korea a man is pulling a two-wheeled cart, piled high with a chair and cardboard and other things while behind him are a car and a truck and a street level billboard.",A man is riding in a limo during evening hours.,3147
1038,two children are standing next to each other in front of a wall that has photographs on it.,The two children can walk thru walls.,3148
1039,A man and a woman both wearing white standing next to each other.,Two people attend a Black Sabbath concert.,3149
1040,A skier skiing and having fun.,A skiier is angry.,3151
1041,Two people standing on the side of a city street.,Two people are driving down a road.,3153
1042,A man on the phone dressed in hard has standing next to a white van.,A man on the phone is eating a burger.,3154
1043,A boy on the beach in an orange jacket with his arm stretched out.,A boy is diggin a hole in the snow.,3157
1044,A man in a black jacket facing a dinosaur sign.,A man is wearing a purple jacket.,3163
1045,A bunch of people sitting around tables with drinks.,The people are standing around the table.,3164
1046,A man doing a trick on a bicycle in a wooded area.,The man is sitting inside,3166
1047,A group of people are sitting on park benches beneath trees with purple blossoms.,A group of people are playing tag in a park.,3167
1048,A man with tattoos is lounging on a couch holding a pencil.,the man is standing near a tree,3169
1049,Firemen gathered around a firetruck on a roadside.,the men sitting in a park,3170
1050,"Teams assemble on a soccer field wearing blue, red, and yellow uniforms.",There is only one team on a soccer field.,3173
1051,A hockey player guards the goal.,A hockey player sat on the bench.,3175
1052,A dog jumps off the stairs.,A cat is napping in the sun on the windowsill.,3178
1053,A man in a bowler hat sitting next to a speaker and a figure playing a saxophone.,His bald head was sunburned.,3179
1054,Woman walking in summer attire.,A woman is bundled up in a heavy coat.,3180
1055,The woman in the blue shirt sits on a bench in a museum as others pass her by.,There isn't anyone else but the woman in the museum.,3181
1056,A man selling pin-wheels.,A man is selling pink flowers.,3186
1057,Children serving at a community dinner.,Children are playing baseball.,3188
1058,"A man dressed in blue and white is suspended in air with his motorbike, while two other men in white and black helmets stand below.",a man drives a semi truck,3191
1059,"Pedestrians walking on a crowded street in an asian city, seen from the back.",Two men are eating hot dogs while watching TV.,3194
1060,"A room full of children raise their hands, fingers extended, to the sky.",There is a room with a single child.,3196
1061,Small band playing at front of pub.,A man is walking around,3197
1062,A man on a boat feeding many water birds and two parents in chairs with their little girl on the side.,A man ice skates across a frozen pond while 3 others watch.,3199
1063,A man in ice climbing gear holds a rope.,A woman and a shark go to the movies.,3202
1064,Closeup of a male's hands steaming milk.,A male is white.,3203
1065,A traveler sits on a bridge next to his pack.,A traveler lays down on the bridge to block traffic.,3208
1066,Fisherman at the market weighing their catch at the end of a long day.,They men are singing in a club,3218
1067,a tennis player wearing a green shirt about to hit a ball with his racquet.,The tennis player is a girl.,3222
1068,a boy in a blue t-shirt is airborne on a skateboard in a skate park.,A man is sleeping.,3223
1069,"Protesters holding picket signs up, man in center with a blue I<3NY shirt.",people are having coffee in a shop,3224
1070,"A rock band performing on a stage a guitarist, singer and a drummer",A rock band is tap dancing.,3226
1071,A biker pumps up the air in his bike tires while the bike is attached to his car.,A biker pumps up his pool outside.,3230
1072,A girl in a pink jacket is walking through a large puddle.,girl enjoying the dry day,3231
1073,A guy performing a bicycle jump trick for an audience.,tony hawk is performing a skating trick,3235
1074,"Two women walk towards a fire hydrant, painted with a face on it.",Two women swim in a water fountain.,3236
1075,Two females from different teams playing basketball.,Two woman play backgammon.,3243
1076,An African woman in a brightly colored dress is playing her drum.,The lady is fighting.,3248
1077,A man in a black striped shirt is erasing a chalkboard while facing it.,A man in a black striped shirt is walking along the street.,3251
1078,A large group of what appear to be Indian women and children stand for a photo outside of a building.,A large group of chinese people are eating at a buffet.,3252
1079,A group of people walk down a city street at night.,A man combs his hair for a date.,3254
1080,A woman pushes a child in a stroller with several people on bikes behind.,There is a child pushing a stroller filled with stuffed animals across a driveway.,3256
1081,A woman in a black short-sleeved shirt smiles at the camera as she mixes a drink.,A woman in a white shirt smiles as she makes a drink.,3257
1082,"Three women and one young girl, all with white flowers in their hair, are sitting facing forward.",Three men and one boy are sitting.,3258
1083,Three females are sitting on the ground while one has device in her right hand.,Three women at standing up to leave,3259
1084,"Four elementary-aged children, two boys and two girls, play on a green lawn with a tree and a building in the background.","4 kids are inside their house, reading a book in front of the fireplace.",3261
1085,A woman and a man standing on a busy city street smiling.,The woman and the man are frowning.,3271
1086,Three people sit on a bench under palm trees.,A tornado is sweeping the people away,3273
1087,A dog is playing catch on the grassy plain,A dog is playing by himself indoors.,3276
1088,"A group of people, some of whom are standing and using chopsticks, surround a table which is laden with plates of food.",A group of people surrounding a table which has no more food left.,3277
1089,A woman enjoying the breeze of a primitive fan.,The woman is running down the road.,3285
1090,A man who is wearing a black coat is on the back of a four seat bicycle with three children riding on the seats in front of him.,The man in the coat was driving a car.,3289
1091,Food workers sort through new stock while wearing blue gloves.,The workers are not wearing gloves.,3291
1092,Two men sit on a bench in front of a three tier fountain.,A woman combs her hair.,3293
1093,An old man is playing a stringed instrument on a small stage while some people sit at tables listening and other people pass by.,An old man is playing a stringed instrument in a large theater.,3295
1094,A middle Eastern woman wearing green is sitting on a stone step holding a box of cigarettes.,A woman is standing outside in a red dress.,3298
1095,A young girl sporting a pink and brown shirt blows a bubble with gum.,A young girl is eating a banana.,3300
1096,Man performing stunts with his motorcycle.,A man is sitting in his car.,3301
1097,Onlookers looking upon a play being performed.,An audience awaits for a play to begin.,3302
1098,Three young girls are taking part in martial arts.,Three young girls are baking a cake.,3306
1099,A woman with a red and orange apron makes paper-mache orbs while her friend leans into the frame.,All of them are men,3308
1100,a midget jumps over another midget.,The full grown men play rock paper scissors,3317
1101,A person and a dog run on a paved road near a forest.,A man and a dog running from a horde of zombies.,3318
1102,A woman in a batik dress walking on the beach.,woman lies in bed,3319
1103,Two kids slide down a giant inflatable slide.,Kids are eating cake.,3321
1104,A boy in blue runs towards the waves in the ocean.,A man wearing a tuxedo cries.,3324
1105,The white dog with pointed ears is running on the dirt.,The dog ran away,3328
1106,"A man is standing in the road, smiling.",A man is sad when he goes to bed.,3332
1107,A woman puts the firewood in order.,The woman sits by the warm fire.,3339
1108,"A man in a green t-shirt walks down a beach, carrying his tennis shoes.",The woman in blue walked down the beach in tennis shoes.,3340
1109,Two men are working in a field by a den as their dog is about to walk up on them.,The women are petting the cat.,3345
1110,Five children are being sprayed by a water fountain,Six children are sitting in class at school.,3348
1111,A vendor selling things outside of a building.,A dog selling things outside of a building.,3362
1112,A group of workers wearing orange vest painting in a British rail station.,Some guys are purchasing some paint.,3363
1113,A man with a chainsaw is carving a bird out of wood.,A man is carving a dog out of ice.,3366
1114,A girl is doing a back flip in the air while several other girls wait to catch her.,The girl is doing a cartwheel.,3369
1115,A man and a woman sitting on a dock.,two people standing in a field.,3373
1116,Workers in neon green vests work in front of large buildings.,Pele lives on an iceberg.,3386
1117,A woman in a red skirt is walking on the street with graffiti in the background.,A woman in a spring dress walks her dog through a nice little neighborhood.,3390
1118,Two baseball players trying to catch a ball in the outfield.,One baseball player already caught a ball in the outfield.,3392
1119,"There are two swimmers in the ocean holding onto a rope, which has a balloon at the end of it.",The men are sunbathing on the beach.,3395
1120,A white dog standing on leaves on the ground.,A dog is entering the house.,3400
1121,Elderly man plays saxophone in a white shirt and white hat sitting in a chair a booth.,A young man plays a trombone.,3406
1122,A guy riding a motorcycle on one wheel.,A girl is playing with her dog.,3408
1123,Three girls are walking along the sidewalk together and the one in the middle is bouncing a basketball.,Three girls are running along the sidewalk together.,3410
1124,Two women and a man dressed in Victorian era clothing; the man is gesturing to the women in the red dress.,Three people are dressed in steam punk clothing.,3414
1125,A man wearing a blue cap holds a rifle.,The man believes that guns are violent.,3416
1126,A boy poses for the camera at a party.,The boy takes a picture.,3417
1127,Some people at the farm working and a man pulling a cart.,No one is at the farm,3418
1128,A white puppy walks down a dirt path trailing his leash on the ground behind him.,The puppy is indoors.,3420
1129,A man wearing glasses is reading his cellphone and holding a drink in the other hand.,A guy is reading a paperback and drinking a martini.,3428
1130,Old bald man with a beard sitting down playing the flute.,Old man singing at a karaoke bar.,3432
1131,"A group of workers in the desert, two with wheel barrels and two just standing around.",The men are drinking beer at the bar.,3433
1132,A group is letting their political opinion be known.,The people are saying their religious beliefs.,3437
1133,A boy takes a flying leap into the water.,Boy is reading a book,3438
1134,Two kids play soccer in a field.,Two kids are throwing a football in a field.,3442
1135,"Kids doing a soccer drill in the soccer field, they are all dress in soccer uniforms except for one boy which is wearing casual clothing.",A woman bakes bread.,3450
1136,Several groups of people are in sculling boats on a river.,The cruise ship was on the ocean.,3452
1137,A soaked dog is playing in the water.,The dog is dead.,3454
1138,A man in a green tie talking to two woman over drinks.,The people are sleeping.,3456
1139,A couple of boys looking in a tan container while a man wearing a large hat and a woman wearing a plaid shirt look to the right.,A snake charmer lulls a snake to sleep at an outdoor carnival.,3461
1140,"Two professional soccer players attempt to reach the ball first, with the fans in the stands looking on from the background.",Two professional hockey players are fighting for the puck.,3471
1141,Two men in wife beaters sit in front of a bunch of dead birds.,Two men pet a dog.,3475
1142,A dancer performing with her panties showing.,The singer is wearing a three piece suit.,3477
1143,A woman in an orange top is demonstrating a karate kick.,The woman kicked a spoon to the moon.,3480
1144,"There are two football players, one wearing a blue and yellow uniform holds the ball, and the other wears a white uniform.",Two basketball players stand face to face.,3483
1145,Cute little boy in an army shirt blowing a kiss at a small lizard.,The guy in the army shirt spit on the lizard.,3488
1146,A redheaded child is happily swinging in park.,A redheaded child is crying on a see-saw,3495
1147,A person in a black jacket in the middle of the road.,The man will live forever.,3496
1148,Three hockey players in red jerseys are standing together holding hockey sticks.,Three hockey teammates in red dresses are watching TV.,3499
1149,A man blows into a tube while standing in front of a man at the drumset on stage.,The men are sitting down and peeling potatoes.,3501
1150,"Rock Band star Matt Doneley rests on a microphone after a long loud concert on Monday held at the Athens center in Las Vegas, Nevada during the April event.",A boy plays a video game.,3505
1151,A shaven head young man wears headphones and works with a mixing board.,The young man is doing laundry.,3508
1152,Group of women with headscarves.,womens fighting for some money,3511
1153,People in a subway station waiting for their train.,People are waiting at the airport gate for the plane.,3512
1154,A person pulls a camel loaded with plants along a road.,A person is sleeping.,3514
1155,Two shirtless men and one fully clothed woman are standing in a body of water in winter.,The water is boiling hot.,3515
1156,A snowboarder jumps off a large ramp in the mountains.,There is no snow,3516
1157,Photographers take pictures of a girl sitting in a street.,The girl is standing.,3520
1158,Two girls are sitting together on a spinning platform.,the girls are standing,3523
1159,A man in a white sweatshirt and dark pants stands close to a girl in a pink sweatshirt and blue jeans on an escalator.,A father and daughter are walking to their car.,3525
1160,Nine men in their swimming gear are in a large pool performing swimming exercises.,A woman sings into a microphone.,3526
1161,A woman with a blue jacket and black pants is under a black and yellow tent,A woman in a green dress is in line to buy popcorn at a movie theater.,3532
1162,An elderly man sitting on a bench near the water,An elderly man is lying in the grass.,3534
1163,Two African-American children playing with water bottles.,The children in the photo are Asian.,3535
1164,An attractive woman in boots is walking and holding a pink umbrella in the rain.,A woman is sleeping on a bench.,3539
1165,a group of surfers catching a wave,Surfers are on the beach.,3541
1166,Tourists board a Vietnamese skiff for a river tour.,the tourists are at home,3546
1167,A band performing on stage while the crowd observes with there hands in the air.,A band performs for nobody at all.,3547
1168,"A little boy is in a swimming pool with goggles on, covering his mouth and nose with his hands just above the surface of the water.",Nobody has goggles.,3551
1169,A beautifully dressed little girl poses in the forest with her walking stick.,The little girl is swinging on the swing.,3557
1170,A man wearing denim plays a bass against a dun wall.,a woman is sleeping,3558
1171,A young man wearing a green T-shirt and a backpack is waiting with some other people for transportation.,A young man is wearing a blue T-shirt.,3559
1172,Two white girls holding up signs advertising for a car wash fundraiser.,Two black girls are holding up a sign advertising a car wash.,3561
1173,A woman reading her paper while waiting for the train.,The women is reading a long novel waiting for the train.,3569
1174,A young man parasailing on the ocean.,The man is water skiing.,3570
1175,There are many young people climbing stairs with one guy in blue jeans and t-shrt looking back at the cameraman.,The people are sitting at a a table.,3573
1176,Two women sit on blocks underneath an umbrella.,No person in the frame is standing underneath anything at all.,3575
1177,A woman smokes a cigarette besides an electrical box and a billboard advertising church,A woman smoking a cigar near a restaurant.,3586
1178,"A man is about to catch something, next to the pool, at a pool party.",the woman is at the market,3589
1179,A boy wearing a red shirt and white and aqua surf shorts is looking at a soccer ball on the beach.,The boy is shirtless,3591
1180,A man is standing by a table in a banquet room filled with people and tables.,A man is sitting by a table in a bathroom filled with people and tables.,3592
1181,Some boys playing soccer in the sand,The boys are playing football.,3594
1182,Three males are sitting on a sofa with beers on a table in front of them.,Three guys are building a house.,3600
1183,A man and children work on the engine of an old truck.,A man and children are walking in a park.,3602
1184,Five men playing an interesting sport.,The men are watching a movie together.,3606
1185,A girl laying on a sidewalk.,a girl running down the sidewalk,3607
1186,A yellow gloved diver with a snorkel and mask swims underwater carrying a box with a handle.,a man skydives,3613
1187,Little boy in his bathing suit tentatively preparing to step in the rocky-lined stream.,A little boy is preparing to step into an igloo.,3615
1188,A young woman with her face painted plays the cello.,A woman is playing a trombone.,3616
1189,"There are two men on a ladder one is at the top handing down to the other guy the number ""O"" as this what they do for a living.",Two women work on a ladder.,3619
1190,Two doctor working on a person in the operating room.,The doctors are working on a person in an ambulance.,3630
1191,A woman wearing a pink shirt jumps in the air with her arms and legs spread to her sides.,The woman is crawling.,3639
1192,An old man walking a ferrett through the street on a leash.,A young woman is walking next to a dog that isn't on a leash.,3640
1193,"A young woman wearing a black and red striped shirt stands in front of a microphone, across stage from a guitar player.",Nobody is wearing black,3644
1194,A woman wearing a pale shirt and jeans is sitting on a couch next to a man in a maroon shirt.,A can of pop explodes.,3647
1195,A man wearing dark green shirt and sweatpants is showing off a stuffed toy,A man is showing his bike to his friends.,3648
1196,"There is a little boy in a red shirt and orange shorts riding a bicycle that has been decorated with red, white, and blue items.",The boy is playing video games at home.,3653
1197,"A man walks through a clearing and carries a rifle along his back, casually holding it by the muzzle.",A man is walking and carrying a fishing pole.,3654
1198,"Men and women view cows, guns and symbols in pieces in a art gallery.",People are screaming at eachtoehr,3661
1199,White dog in the water.,The dog is very dry.,3668
1200,A girl and a toddler are looking in different directions on a sidewalk.,A girl and a toddler are looking at each other on a sidewalk.,3674
1201,A little girl wearing a black swimming suit holding a shovel at a beach.,The girl is in a forest,3677
1202,The group of young people are in a bubble bath enjoying themselves.,One adult bathes alone.,3680
1203,A crowd of people are running in a race.,They monkeys throw bowling balls at each other,3689
1204,A clown with a red nose and theatrical makeup is wearing a colorful striped shirt and squirting water out of his eye.,The clown is dead and buried at a cemetery.,3693
1205,"A woman in a black shirt and apron is busy weighing fish on a scale at a fish market, with a variety of fish meats on display in front of her.",the woman is naked,3694
1206,Several street performers beat tribal drums and dance while wearing matching white and red garb.,The performers are singing.,3702
1207,A traveler is walking down a road.,There is a traveler sitting in the road.,3708
1208,A group of people are carrying flags.,People are walking along the beach.,3710
1209,The guy on the bicycle is doing a very high jump on a track.,A lady on a bike rides quietly.,3714
1210,Two brown dogs with blue collars are running in the grass.,The dogs are sitting by the pond.,3715
1211,A man hits a volleyball on a beach volleyball court while spectators look on.,"A man is in the shower, washing off the grime from work.",3717
1212,Some men work to paint and a sand a cement area.,There are no men,3719
1213,A young women with long blond-hair is planting in a garden.,A short haired woman picking berries.,3723
1214,A bearded man is riding a bicycle on the beach.,A man is lying on the beach,3726
1215,A man in an Ozzy t-shirt looks at his breakfast of poached eggs and toast with coffee on the side.,The man is wearing an Iron Maiden shirt,3731
1216,An older man is seen carrying a basket of what some kind of paper over his shoulder.,A young boy delivering news papers.,3733
1217,The man is mushing his dogs on a snow trail,The woman is mushing her dogs on a snow trail.,3739
1218,People are standing on a sidewalk.,The people are driving,3741
1219,A red metal sculpture is surrounded by a large number of people.,No one is near the red sculpture.,3744
1220,"A person wearing a white suit is riding their bike through a dense forest, on a trail.",A person is sitting in his car driving to work.,3746
1221,Two men are sitting on a bench looking at a water fountain,the men are standing in front of a water fountain.,3747
1222,"This is a scene of several people walking outside during the day, including a woman with two coffee urns.",The scene consists of a rainy night where the streets are completely dead.,3755
1223,Man in a red shirt riding his bicycle around water.,A shirtless man thinks about his life.,3758
1224,A man in a hat and coat is talking on the phone next to a building with a sign that is in a foreign language.,Man attacked as he throws banana at stray cats,3759
1225,A child gets her face painted by a older woman.,The child gets a balloon animal made by the old lady.,3760
1226,A man in winter clothing playing an instrument on the street.,Two guys are performing on stage playing instruments.,3764
1227,Two women are dancing in red and silver outfits with long veils.,Two women are standing still and thinking on the meaning of life.,3770
1228,A man and woman are sitting at a table with a Jenga game in front of them and a few beer bottles.,A man and woman are swimming.,3777
1229,A clown with colorful pants sitting on a bench of a old building.,The clown is standing up.,3780
1230,A Father and son playing with a wooden train set on a city carpet.,A father and son play basketball outside.,3782
1231,A person on a bicycle rides by another person on a small boat in a canal.,The man on the motorcycle races the cruise liner.,3787
1232,a little girl hugging a huge egg,The boy is throwing the ball.,3788
1233,"Two women standing in front of an open door, the older woman is helping to dress the younger one.",the men are lying on the bed,3794
1234,"The drunk man in the gray shirt is attempting to drill into a keg of beer, while another keg awaits.",A child drinks a juice box,3795
1235,"Several members of a wedding party, including the bride, are walking past a lamp and some park benches.",The people are laying down.,3797
1236,A person in a white helmet is standing next to a ladder.,A person is wearing a black helmet,3802
1237,A man in a tuxedo and a woman in a white dress holding a bouquet are standing outdoors.,A couple is standing inside.,3807
1238,Two men dressed in Red Bull merchandise are celebrating by opening drinks together at an event.,Two men display no brand insignia as they sip their drinks.,3808
1239,A female gymnasium in a blue leotard getting hugged by someone else in a blue jacket and black pants.,The leotard is red.,3809
1240,People standing around in a library.,There are people on an airplane.,3810
1241,A little boy plays a toy guitar while singing into a toy microphone.,A boy plays the drums for his friends band.,3811
1242,A man is sleeping inside on a bench with his hat over his eyes.,The man is walking,3813
1243,Man holding a little girl in a street.,Nothing is holding anything,3814
1244,A military group stands at attention.,A group of soldiers are sleeping.,3815
1245,A man in cold-weather gear holding a large camera.,A man in shorts with a video camera.,3818
1246,"A man and a woman sit at the end of a dock which is surrounded by water, near another dock that has a wooden roof-type structure over it.",A man and woman are sitting on a dock in a dried out lake.,3820
1247,"Two men, one on a ladder, the other on roof beams, work on constructing a structure.",A couple of men are looking at construction plans and talking.,3828
1248,A large huddle of young people in swimwear reaching their hands toward the center of their huddle.,The basketball team lost the game.,3829
1249,Boy in gray sweater outside with leaves.,The kid spends all his time in the house playing video games.,3832
1250,A climber in an orange helmet is ascending attached to a rope whilst climbing a rock face.,The climber is descending from the mountain.,3833
1251,A man in a green jacket and shorts fishes off the rocks.,A man is sleeping in a bed.,3835
1252,Swimmers are playing an indoor game of water polo while several spectators watch.,People are watching a tennis match.,3842
1253,Two people looking across a valley.,Two people at a movie premier.,3844
1254,A young girl is laying in the grass posing for the camera,A young girl runs around in a grassy park.,3845
1255,A US Army chief warrant officer shakes hand with a woman as others watch on.,A woman is getting punished by the US Army officer.,3858
1256,a kid wearing snowshoes and laying on his back on snow,It is summer time.,3864
1257,A disabled combat veteran sells hotdogs and pretzels on the sidewalk.,A veteran sells food in a restaurant.,3866
1258,Two paramedics are tending to an injured person.,Some people are sleeping.,3872
1259,A young man is concentrating on playing with a notebook.,A young woman is concentrating on playing with a notebook.,3873
1260,Two women sitting on the beach having a chat.,"Two guys jog silently along the beach, not sparing breath for conversation.",3883
1261,A group of young boys play a basketball game.,A group of children are playing soccer.,3885
1262,"A woman sunbathing on the roof of a building in a black bathing suit, with other buildings in the distance.",cat looks down hole,3893
1263,Two people climbing up a snowy mountain.,Two friends are seen relaxing at the foot of a mountain.,3900
1264,A man dressed in orange looks like he is playing an instrument.,The woman is singing,3902
1265,A man dressed all in black talks with a lady wearing a light blue dress and a white headscarf.,The man is pushing a wheelbarrow on a tightrope.,3903
1266,A group of protesters holding sings and raising their arms up in the air,The people are very somber.,3907
1267,There is a white and black dog jumping off the ground trying to catch a ball.,There is a red dog lying on the ground by a ball,3910
1268,A poverty stricken housing area with a lady in black with white headdress in the distance.,rich people partying on a yacht,3913
1269,A person is skiing in a race.,A person is riding a jet ski down a mountain.,3914
1270,Woman waitress at a restaurant.,The waitress is a man.,3918
1271,A brown dog on the sand.,A dog is sleeping in a cage.,3920
1272,A toddler is grasping pawns on a chessboard.,The toddler is sleeping on its mother.,3922
1273,"Students, and their teachers in a classroom going over material.",A class dismissing.,3925
1274,A man with a beard and long hair plays the guitar.,A clean-shaven man plays a guitar.,3929
1275,A father feeding his child on the street.,The man is riding a horse.,3932
1276,A girl with glasses listening to earbuds.,The music was loud.,3934
1277,"Several people sitting, relaxing in the snow.",Some people are laying on the beach.,3935
1278,A girl wearing a colorful hat sits on a woven mat.,A woman is standing under an umbrella.,3942
1279,Two men kayaking in rough waters.,Two sisters ride in an offroad vehicle,3948
1280,"One woman with a pink top, one with an orange top, one with a black top along with their children are walking to a boat",A man and a woman eat lunch in a bar.,3950
1281,A young girl in dark shorts and a blue tank top runs on the grass near an orange cone and tape.,A young girl is lying in the dirt wearing a raincoat near a McDonalds.,3955
1282,A man with a black hat is walking with a riffle.,The hat is blue,3960
1283,Three people stand on a stark black stage next to a black chair and a guitar.,the circus is on stage,3964
1284,A woman in a red apron is preparing food.,The person is wearing a blue apron.,3969
1285,Men picket in a city street.,The men are building a bridge.,3974
1286,A puppy is playing with a tennis ball on a well-kept path lined with groomed bushes.,A lion is playing with a tennis ball on a well-kept path lined with groomed bushes.,3975
1287,man dragging a boat through the mud.,A man paddling his boat.,3976
1288,A young boy smiles while playing with a soccer ball.,A teenage girl is kicking a football.,3977
1289,A woman wearing a blue coat in a lake fishing.,Woman wearing a bikini dances in a lake.,3978
1290,A man wearing denim plays a bass against a dun wall.,A man fishes for bass at a lake.,3979
1291,An infant in stroller wears a stethoscope and plays with latex gloves.,The infant is crawling around outside the stroller.,3982
1292,"Man in blue and gray sweater, blue jeans and blue shoes with blue socks, sitting on a white foldable chair, sleeping.",A man is cooking breakfast.,3983
1293,A group of people eating on a picnic table at a park.,The people are are playing water polo in the pool.,3984
1294,Glossy red apples lay stacked in a metal bowl.,The apples are green.,3991
1295,"Four young men on a dock, two standing, two sitting, with one playing a guitar.",A group of girls singing.,3992
1296,Two basketball players in action.,They are on a baseball field.,3998
1297,A white and brown dog runs in a field with a tennis ball in its mouth.,A black dog sits still in the woods.,4002
1298,"A group of kids, sitting on the floor, in an art museum listening to an older lady.",There are no kids.,4011
1299,A man looks through produce at a Farmers' Market.,A man is in a sports store.,4014
1300,A little boy and girl hugging each other.,a older man and woman hug each other,4017
1301,A dog running though a grassy field.,The dog is walking,4023
1302,"A man, wearing a striped shirt, is sitting at a glass table, working on a Toshiba laptop.",A woman is by her macbook,4026
1303,A plane is flying over a group of people.,A plan crashes into people.,4029
1304,"There is a man with a moustache, cap and backpack standing by a bridge that running crosses water.",Some ducks eat bread.,4031
1305,The black dog is by a soccer ball and the brown dog is running.,Dogs are asleep in their doghouses.,4035
1306,Two boys in a wrestling match.,There are boys eating lunch.,4037
1307,A man in a white shirt sitting beside the road on a pole.,The man is laying in the middle of the road.,4038
1308,Two motorcyclist neck-to-neck about to take a turn,A motorcycle collision.,4041
1309,Small black and white dog wearing a red harness is running around with a ball in its mouth.,a dog runs with a stick,4042
